code_iris;nom_iris;code_commune;population_18_75;taux_vapotage_quotidien_pct;taux_vapotage_actuel_pct;nb_vapoteurs_quotidiens_estimes;taux_tabagisme_quotidien_pct;vapoteurs_pct_hommes;vapoteurs_pct_femmes;vapoteurs_pct_age_18_29;vapoteurs_pct_age_30_44;vapoteurs_pct_age_45_59;vapoteurs_pct_age_60_74;vapoteurs_pct_dipl_inf_bac;vapoteurs_pct_dipl_bac;vapoteurs_pct_dipl_sup_bac;vapoteurs_pct_actif_occ;vapoteurs_pct_chomeur;vapoteurs_pct_etudiant;vapoteurs_pct_retraite;vapoteurs_pct_autre_inactif;vapoteurs_pct_fumeurs_double_usage;vapoteurs_pct_ex_fumeurs;vapoteurs_pct_jamais_fumeurs;vapoteurs_pct_motif_sevrage;vapoteurs_pct_motif_reduction_sante;vapoteurs_pct_motif_economique;vapoteurs_pct_motif_recreatif;taux_p05;taux_p95
545780106;Rémicourt Parc de Brabois;54578;1108.0;4.18;5.72;46.0;19.39;53.6;46.4;28.5;34.0;22.7;14.8;21.8;18.8;59.4;76.3;7.4;12.0;2.7;1.6;43.4;53.6;3.0;41.3;25.4;19.7;13.6;3.71;4.64
545780107;Gec Village;54578;2056.0;4.39;6.03;90.0;21.17;54.9;45.1;30.3;34.2;23.5;12.0;35.9;15.7;48.4;71.9;9.5;12.9;1.9;3.7;45.5;51.6;2.9;40.1;25.8;20.0;14.0;3.89;4.88
545780108;Placieux Coteaux République;54578;2251.0;4.35;6.04;98.0;20.52;57.4;42.6;42.1;26.5;19.3;12.0;30.6;21.9;47.6;64.0;8.8;20.5;2.0;4.7;44.8;52.3;3.0;39.5;25.0;19.4;16.1;3.86;4.83
545780109;Baudricourt;54578;1181.0;4.4;6.05;52.0;21.4;55.6;44.4;31.5;29.9;25.3;13.3;36.5;17.4;46.0;71.7;13.2;10.3;0.9;3.9;45.8;51.3;2.9;39.9;25.8;20.0;14.3;3.9;4.89
545800101;Micheville;54580;1598.0;5.68;7.79;91.0;26.58;59.3;40.7;24.4;35.9;30.9;8.7;65.6;20.7;13.7;74.6;8.5;4.5;2.0;10.4;51.2;46.2;2.6;38.0;27.7;21.4;12.9;5.03;6.23
545800102;Verdun;54580;2522.0;5.73;7.86;145.0;27.02;58.0;42.0;24.8;39.5;27.1;8.7;65.4;20.4;14.2;70.6;10.9;4.9;1.4;12.2;51.6;45.8;2.6;37.8;27.7;21.4;13.0;5.07;6.29
545800103;Michelet Chatrian;54580;1281.0;5.47;7.47;70.0;25.7;57.7;42.3;22.4;37.0;29.6;11.0;61.8;22.9;15.3;71.0;10.6;6.2;2.4;9.8;50.4;47.0;2.7;38.6;27.6;21.3;12.4;4.84;6.0
545800104;Cantebonne;54580;1596.0;5.29;7.22;84.0;25.01;57.2;42.8;22.9;36.1;27.7;13.3;62.9;19.9;17.2;74.3;8.4;5.2;2.5;9.6;49.7;47.6;2.7;38.9;27.4;21.2;12.5;4.68;5.8
550290101;Côte Sainte-Catherine;55029;1438.0;5.05;6.91;73.0;26.28;55.1;44.9;24.0;28.9;32.2;14.9;66.9;21.0;12.1;47.9;27.6;3.8;2.5;18.3;50.9;46.5;2.6;38.2;27.6;21.3;12.8;4.45;5.56
550290102;Marbeaumont Gare Fédération;55029;2089.0;4.93;6.75;103.0;23.19;58.3;41.7;26.5;28.3;28.4;16.7;47.9;24.0;28.1;72.2;12.1;5.5;3.3;7.0;47.8;49.4;2.8;39.4;26.6;20.6;13.3;4.35;5.42
550290103;Marbot-Hinot Bradfer;55029;1695.0;5.17;7.1;88.0;24.9;54.6;45.4;28.2;27.4;32.1;12.2;57.5;22.3;20.2;66.3;15.5;6.0;2.5;9.7;49.6;47.7;2.7;38.4;27.0;20.9;13.7;4.56;5.69
550290104;La Libération;55029;1222.0;5.08;6.96;62.0;24.55;55.1;44.9;24.6;31.7;30.0;13.7;56.8;17.7;25.4;66.0;15.8;7.4;2.1;8.7;49.2;48.1;2.7;39.0;27.1;21.0;12.9;4.48;5.59
550290105;Ville Haute;55029;2201.0;5.09;6.96;112.0;23.67;61.1;38.9;22.7;29.8;33.9;13.5;44.9;22.9;32.2;71.4;7.3;6.3;2.7;12.3;48.3;48.9;2.8;39.6;27.0;20.9;12.5;4.49;5.6
550290106;Centre Ville;55029;1621.0;5.2;7.15;84.0;24.2;55.2;44.8;30.5;29.1;27.9;12.5;47.5;23.5;29.0;71.1;9.9;5.5;2.0;11.5;48.9;48.4;2.7;38.6;26.6;20.6;14.2;4.59;5.72
555450101;Glorieux Saint-Barthélemy;55545;1241.0;5.12;6.97;64.0;23.57;57.2;42.8;20.5;36.1;28.5;14.9;48.4;23.6;28.1;82.6;6.9;4.5;2.3;3.8;48.2;49.0;2.8;39.9;27.2;21.0;11.9;4.53;5.63
555450102;Centre Ville-Cité Verte;55545;1358.0;5.16;7.09;70.0;25.23;58.4;41.6;28.7;29.5;28.4;13.4;59.2;20.1;20.7;60.8;18.7;5.9;2.7;12.0;49.9;47.4;2.7;38.2;27.0;20.9;13.8;4.57;5.67
555450103;Au Pré l'Évêque Anthouard;55545;1527.0;5.48;7.58;84.0;26.16;56.2;43.8;36.5;30.0;23.4;10.1;50.5;25.2;24.3;53.2;21.0;5.8;1.6;18.4;50.8;46.6;2.6;37.2;26.8;20.7;15.4;4.85;6.02
555450104;Centre Ville-Est;55545;1570.0;5.17;7.14;81.0;23.93;52.0;48.0;36.3;26.2;24.5;13.0;46.8;23.7;29.5;65.4;15.5;8.7;1.5;9.0;48.6;48.7;2.8;38.2;26.2;20.3;15.3;4.58;5.68
555450105;Au Dieu du Trice Cité Kennedy Louis Best;55545;2036.0;4.92;6.74;100.0;23.37;57.5;42.5;27.1;27.5;28.9;16.6;52.9;21.2;25.9;72.3;10.1;7.1;2.3;8.2;48.0;49.2;2.8;39.3;26.6;20.6;13.4;4.36;5.41
555450106;Les Planchettes Champ Claudine;55545;1029.0;5.33;7.3;55.0;28.32;49.9;50.1;25.4;39.2;24.6;10.7;76.7;14.5;8.8;41.2;30.1;5.4;1.6;21.6;52.8;44.7;2.5;37.2;28.0;21.6;13.2;4.72;5.86
555450107;Les Grandes Plantes Faubourg Pavé;55545;1153.0;4.98;6.79;57.0;24.01;52.8;47.2;21.4;34.6;28.0;16.1;55.1;22.4;22.5;71.0;14.1;5.7;2.5;6.8;48.7;48.6;2.7;39.6;27.2;21.1;12.1;4.41;5.47
555450108;Faubourg Souville;55545;1491.0;5.2;7.11;77.0;24.16;53.4;46.6;26.4;34.6;25.7;13.3;48.1;27.6;24.3;73.1;13.4;4.6;2.8;6.1;48.8;48.4;2.7;39.0;26.9;20.8;13.3;4.61;5.71
560030101;Zone Urbaine;56003;1375.0;5.94;8.03;82.0;16.78;53.4;46.6;16.7;19.9;35.0;28.4;28.1;21.7;50.2;73.8;5.8;7.8;4.6;8.0;39.8;56.9;3.2;44.3;25.2;19.7;10.7;5.28;6.71
560030102;Zone Rurale;56003;2521.0;6.74;9.2;170.0;18.28;54.5;45.5;23.3;24.4;33.7;18.6;30.3;21.3;48.4;73.8;6.9;10.8;3.0;5.5;41.9;55.0;3.1;42.5;25.3;19.7;12.5;5.99;7.62
560070101;La Gare;56007;3349.0;9.31;12.76;312.0;23.06;55.1;44.9;25.5;33.9;29.2;11.4;47.3;21.8;30.9;69.0;13.9;5.5;2.2;9.3;47.7;49.5;2.8;39.6;26.7;20.7;13.1;8.33;10.36
